,,,group,siat,,,bg,bg_s,,,rg,scores,,group,scores
,,,black,22,,,black,22,,,green,14,,black,22
,,,black,25,,,black,25,,,green,22,,black,25
,,,black,13,,,black,13,,,green,11,,black,13
,,,black,23,,,black,23,,,green,15,,black,23
,,,black,24,,,black,24,,,green,14,,black,24
,,,black,15,,,black,15,,,green,14,,black,15
,,,black,29,,,black,29,,,green,14,,black,29
,,,black,17,,,black,17,,,green,17,,black,17
,,,black,17,,,black,17,,,green,12,,black,17
,,,black,20,,,black,20,,,green,22,,black,20
,,,black,22,,,black,30,,,red,15,,black,22
,,,red,15,,,black,9,,,red,10,,color,15
,,,red,10,,,green,14,,,red,12,,color,10
,,,red,12,,,green,22,,,red,18,,color,12
,,,red,18,,,green,11,,,red,22,,color,18
,,,red,22,,,green,15,,,red,19,,color,22
,,,red,19,,,green,14,,,red,25,,color,19
,,,red,25,,,green,14,,,red,17,,color,25
,,,red,17,,,green,14,,,red,17,,color,17
,,,red,17,,,green,17,,,,,,color,17
,,,,,,,green,12,,,,,,color,14
,,,,,,,green,22,,,,,,color,22
,,,,,,,,,,,,,,color,11
,,,,,,,,,,,,,,color,15
,,,,,,,,,,,,,,color,14
,,,,,,,,,,,,,,color,14
,,,,,,,,,,,,,,color,14
,,,,,,,,,,,,,,color,17
,,,,,,,,,,,,,,color,12
,,,,,,,,,,,,,,color,22
