,,,,,,,,,,,,,
,,,,,,overall score,,,black,red ,green,,
,1,1,3,3,1,9,,mean score,9,6.3,4.88888888888889,,
,2,2,1,3,2,10,,median,9,6,5,,
,2,2,2,3,0,9,,mode,6,6,5,,
,1,3,1,2,3,10,,std deviation,3.62092683040007,2.21359436211787,1.36422546197874,,0.3
,2,1,1,1,1,6,,,,,,,
,3,3,2,3,3,14,,,,,,,
,1,0,2,0,0,3,,,,,,,
,2,0,1,2,1,6,,,,,,,
,2,1,2,1,2,8,,,,,,,
,3,3,3,3,3,15,,,,,,,
,2,1,1,2,1,7,,,,,,,
,1,0,2,1,2,6,,,,,,,
,1,0,0,0,2,3,,,,,,,
,1,0,1,0,2,4,,,,,,,
,2,0,2,1,1,6,,,,,,,
,1,0,1,2,3,7,,,,,,,
,2,0,1,1,2,6,,,,,,,
,1,3,3,2,2,11,,,,,,,
,1,0,1,2,1,5,,,,,,,
,1,0,2,3,2,8,,,,,,,
,0,0,2,2,1,5,,,,,,,
,3,1,2,1,1,8,,,,,,,
,2,1,2,0,0,5,,,,,,,
,1,0,2,0,2,5,,,,,,,
,1,0,1,0,3,5,,,,,,,
,1,0,1,0,2,4,,,,,,,
,0,0,2,1,2,5,,,,,,,
,0,0,2,2,0,4,,,,,,,
,1,0,1,0,1,3,,,,,,,
